address,name,size_bytes,callers,callees
0x0082cfc0,FUN_0082cfc0,20,0,1
0x0082cfd4,FUN_0082cfd4,20,0,1
0x0082cfe8,FUN_0082cfe8,22,0,1
0x0082cffe,FUN_0082cffe,28,1,2
0x0082d01a,FUN_0082d01a,32,1,3
0x0082d058,FUN_0082d058,558,2,12
0x0082d288,FUN_0082d288,400,1,12
0x0082d418,FUN_0082d418,52,1,4
0x0082d44c,FUN_0082d44c,82,1,10
0x0082d544,FUN_0082d544,18,1,1
0x0082d556,FUN_0082d556,338,0,8
0x0082d6a8,FUN_0082d6a8,56,1,2
0x0082d7ba,FUN_0082d7ba,58,1,2
0x0082d7f4,FUN_0082d7f4,26,3,1
0x0082d8d0,FUN_0082d8d0,60,1,2
0x0082d924,FUN_0082d924,44,0,1
0x0082d950,FUN_0082d950,18,0,1
0x0082d962,FUN_0082d962,36,0,1
0x0082da30,FUN_0082da30,110,0,1
0x0082da9e,FUN_0082da9e,80,0,1
0x0082daee,FUN_0082daee,68,1,2
0x0082db54,FUN_0082db54,26,1,1
0x0082db6e,FUN_0082db6e,32,2,1
0x0082db8e,FUN_0082db8e,50,0,1
0x0082dbc0,tx_enqueue_packet,52,63,3
0x0082dbf4,FUN_0082dbf4,168,1,3
0x0082dc9c,FUN_0082dc9c,2,1,0
0x0082dca0,FUN_0082dca0,36,1,2
0x0082dcc4,FUN_0082dcc4,206,12,4
0x0082dda8,FUN_0082dda8,30,1,0
0x0082ddc6,FUN_0082ddc6,30,1,0
0x0082dde4,FUN_0082dde4,52,14,3
0x0082de18,FUN_0082de18,92,0,7
0x0082de7e,FUN_0082de7e,36,2,1
0x0082dea2,rx_prefilter,40,2,3
0x0082deca,FUN_0082deca,106,1,6
0x0082df34,FUN_0082df34,128,0,5
0x0082dfb4,FUN_0082dfb4,26,1,2
0x0082dfce,FUN_0082dfce,174,0,5
0x0082e07c,FUN_0082e07c,28,1,1
0x0082e0b8,FUN_0082e0b8,16,1,2
0x0082e0c8,FUN_0082e0c8,26,3,1
0x0082e108,FUN_0082e108,34,4,0
0x0082e12a,FUN_0082e12a,30,0,0
0x0082e150,FUN_0082e150,4,1,0
0x0082e154,FUN_0082e154,14,4,1
0x0082e162,FUN_0082e162,20,0,2
0x0082e176,FUN_0082e176,34,1,1
0x0082e198,FUN_0082e198,18,1,0
0x0082e1aa,FUN_0082e1aa,118,1,0
0x0082e220,FUN_0082e220,34,1,1
0x0082e242,FUN_0082e242,312,1,8
0x0082e37a,FUN_0082e37a,60,1,0
0x0082e3b6,FUN_0082e3b6,90,1,10
0x0082e410,FUN_0082e410,18,1,0
0x0082e422,FUN_0082e422,10,1,0
0x0082e42c,FUN_0082e42c,38,1,0
0x0082e498,FUN_0082e498,50,1,2
0x0082e4ca,FUN_0082e4ca,84,0,2
0x0082e51e,FUN_0082e51e,18,1,1
0x0082e530,FUN_0082e530,56,1,1
0x0082e568,cap_touch_tp_fn_a,62,1,4
0x0082e5a6,FUN_0082e5a6,62,1,2
0x0082e5e4,FUN_0082e5e4,32,1,1
0x0082e604,FUN_0082e604,160,1,5
0x0082e6a4,cap_touch_tp_fn_b,148,1,6
0x0082e738,FUN_0082e738,28,1,2
0x0082e754,FUN_0082e754,104,1,3
0x0082e7bc,FUN_0082e7bc,102,1,4
0x0082e822,FUN_0082e822,108,1,3
0x0082e8c4,FUN_0082e8c4,150,1,10
0x0082e95a,FUN_0082e95a,68,1,4
0x0082e99e,FUN_0082e99e,164,1,3
0x0082ea42,FUN_0082ea42,20,1,1
0x0082ea56,FUN_0082ea56,232,1,5
0x0082eb48,FUN_0082eb48,450,1,8
0x0082ed34,FUN_0082ed34,306,1,4
0x0082ee66,FUN_0082ee66,604,0,32
0x0082f0ce,FUN_0082f0ce,22,2,1
0x0082f104,FUN_0082f104,16,0,1
0x0082f114,FUN_0082f114,26,1,1
0x0082f12e,FUN_0082f12e,30,1,2
0x0082f14c,FUN_0082f14c,20,2,2
0x0082f16c,FUN_0082f16c,16,4,1
0x0082f17c,battery_sample_power_on,34,0,2
0x0082f1aa,FUN_0082f1aa,28,3,2
0x0082f1c6,FUN_0082f1c6,22,2,1
0x0082f21c,FUN_0082f21c,26,1,1
0x0082f222,FUN_0082f222,154,13,3
0x0082f2c2,FUN_0082f2c2,32,1,1
0x0082f2ea,FUN_0082f2ea,50,0,2
0x0082f31c,FUN_0082f31c,140,1,2
0x0082f3a8,FUN_0082f3a8,84,1,2
0x0082f404,FUN_0082f404,62,1,2
0x0082f442,FUN_0082f442,2,1,0
0x0082f444,FUN_0082f444,32,1,2
0x0082f464,FUN_0082f464,8,1,1
0x0082f478,FUN_0082f478,6,2,0
0x0082f47e,FUN_0082f47e,38,0,1
0x0082f4b4,FUN_0082f4b4,28,1,2
0x0082f4d0,FUN_0082f4d0,22,1,1
0x0082f4e6,FUN_0082f4e6,16,1,1
0x0082f4f6,FUN_0082f4f6,30,2,2
0x0082f540,FUN_0082f540,24,1,1
0x0082f558,FUN_0082f558,72,0,3
0x0082f5c0,FUN_0082f5c0,2,1,0
0x0082f5c2,conn_param_update_timer_init,88,0,2
0x0082f61a,FUN_0082f61a,22,1,1
0x0082f630,FUN_0082f630,22,0,1
0x0082f646,FUN_0082f646,104,1,5
0x0082f6f4,FUN_0082f6f4,6,1,0
0x0082f6fa,FUN_0082f6fa,50,0,1
0x0082f744,FUN_0082f744,206,0,1
0x0082f812,FUN_0082f812,20,0,1
0x0082f826,FUN_0082f826,20,0,1
0x0082f83a,FUN_0082f83a,20,0,1
0x0082f84e,FUN_0082f84e,20,1,1
0x0082f862,FUN_0082f862,6,1,0
0x0082f868,FUN_0082f868,422,1,1
0x0082fa0e,FUN_0082fa0e,170,1,1
0x0082fab8,FUN_0082fab8,738,1,0
0x0082fdbc,FUN_0082fdbc,454,0,2
0x0082ff86,FUN_0082ff86,506,1,0
0x00830180,FUN_00830180,754,0,0
0x0083047c,FUN_0083047c,18,3,0
0x0083048e,FUN_0083048e,36,1,0
0x008304b2,FUN_008304b2,36,0,0
0x008304d6,FUN_008304d6,36,0,0
0x00830562,FUN_00830562,40,1,9
0x0083058a,FUN_0083058a,62,0,4
0x008305e0,FUN_008305e0,2,1,0
0x008305e2,FUN_008305e2,2,1,0
0x008305e4,FUN_008305e4,2,1,0
0x008305e6,FUN_008305e6,2,1,0
0x008305e8,FUN_008305e8,2,1,0
0x008305ea,FUN_008305ea,2,1,0
0x008305ec,FUN_008305ec,2,1,0
0x008305ee,FUN_008305ee,2,1,0
0x008305f0,FUN_008305f0,2,1,0
0x008305f4,FUN_008305f4,2,1,0
0x008305f6,FUN_008305f6,2,1,0
0x008305f8,FUN_008305f8,2,1,0
0x00830614,FUN_00830614,10,2,0
0x0083061e,FUN_0083061e,190,1,8
0x008306dc,FUN_008306dc,184,1,4
0x00830794,FUN_00830794,50,3,5
0x008307c6,FUN_008307c6,4,3,1
0x008307ca,FUN_008307ca,38,1,2
0x008307fa,FUN_008307fa,10,1,0
0x00830804,FUN_00830804,24,0,2
0x0083081c,thunk_FUN_00830804,2,1,0
0x0083081e,FUN_0083081e,10,1,0
0x00830828,FUN_00830828,192,1,6
0x008308e8,FUN_008308e8,382,0,17
0x00830a90,sports_mode_timer_init,30,1,2
0x00830adc,FUN_00830adc,160,1,3
0x00830b96,FUN_00830b96,110,1,1
0x00830c04,FUN_00830c04,240,1,5
0x00830cf4,FUN_00830cf4,98,1,5
0x00830d6c,FUN_00830d6c,28,1,1
0x00830d88,FUN_00830d88,50,0,1
0x00830dba,FUN_00830dba,20,1,1
0x00830dce,FUN_00830dce,76,1,3
0x00830e1a,thunk_FUN_00830d6c,2,4,0
0x00830e1c,FUN_00830e1c,138,0,7
0x00830ea6,FUN_00830ea6,80,1,1
0x00830ef6,FUN_00830ef6,68,1,1
0x00830f3a,FUN_00830f3a,210,0,2
0x00831012,FUN_00831012,18,5,1
0x00831024,FUN_00831024,14,2,1
0x00831032,FUN_00831032,122,1,2
0x008310c8,FUN_008310c8,22,0,1
0x008310de,FUN_008310de,24,1,0
0x008310f6,FUN_008310f6,62,4,1
0x00831134,FUN_00831134,56,1,0
0x0083116c,FUN_0083116c,50,2,1
0x0083119e,FUN_0083119e,90,1,6
0x008311f8,FUN_008311f8,166,1,1
0x0083129e,FUN_0083129e,70,2,4
0x008312e4,FUN_008312e4,66,3,5
0x00831326,FUN_00831326,156,1,9
0x008313c2,FUN_008313c2,22,1,1
0x008313d8,FUN_008313d8,160,2,10
0x00831478,FUN_00831478,16,1,0
0x00831488,FUN_00831488,40,1,1
0x008314c4,FUN_008314c4,16,3,1
0x008314d4,FUN_008314d4,68,4,6
0x00831518,FUN_00831518,72,1,6
0x00831560,FUN_00831560,74,0,4
0x008315aa,FUN_008315aa,46,5,5
0x008315d8,FUN_008315d8,302,1,11
0x00831706,FUN_00831706,8,8,0
0x0083170e,FUN_0083170e,8,6,0
0x00831716,FUN_00831716,8,3,0
0x0083171e,FUN_0083171e,10,1,0
0x00831728,FUN_00831728,38,0,3
0x0083174e,FUN_0083174e,18,0,2
0x00831760,FUN_00831760,30,1,1
0x00831786,FUN_00831786,12,2,0
0x00831792,FUN_00831792,12,2,0
0x0083179e,FUN_0083179e,16,1,1
0x008317ae,FUN_008317ae,2,1,0
0x008317b0,FUN_008317b0,42,4,3
0x008317da,FUN_008317da,246,0,5
0x008318e8,FUN_008318e8,50,0,3
0x0083191a,FUN_0083191a,6,3,0
0x00831920,FUN_00831920,14,2,1
0x00831938,FUN_00831938,18,1,0
0x00831996,FUN_00831996,18,1,0
0x008319a8,FUN_008319a8,8,2,1
0x008319b0,FUN_008319b0,10,2,1
0x008319ba,FUN_008319ba,8,2,1
0x008319c2,FUN_008319c2,16,4,1
0x00831a04,FUN_00831a04,158,0,11
0x00831aa2,FUN_00831aa2,22,0,1
0x00831ad2,FUN_00831ad2,66,0,5
0x00831b2e,FUN_00831b2e,10,1,1
0x00831b40,FUN_00831b40,52,4,3
0x00831b74,FUN_00831b74,50,4,3
0x00831ba6,FUN_00831ba6,44,1,3
0x00831bd2,FUN_00831bd2,52,7,3
0x00831c06,FUN_00831c06,50,13,3
0x00831c38,FUN_00831c38,52,5,3
0x00831c6c,FUN_00831c6c,50,7,3
0x00831c9e,FUN_00831c9e,52,5,3
0x00831cd2,FUN_00831cd2,50,3,3
